Drug Class,Drug Name,General Classification
1,0,
5-alpha Reductase Inhibitor,1,DHT Blocker/Prostate/Hair health
Aldosterone Antagonist,1,Heart Health
Aluminum Complex,1,Antacid/Stomach
Aminoketone,1,Antidepressant
Aminosalicylate,1,Bowel Health
Androgen,1,Test Booster/Sex Hormone
Angiotensin 2 Receptor Blocker,4,Heart Health
"Angiotensin 2 Receptor Blocker, Thiazide Diuretic",1,Heart Health
Angiotensin Converting Enzyme Inhibitor,3,Heart Health
Anti-epileptic Agent,2,Epilepsy/Seizure
"Anti-epileptic Agent, Mood Stabilizer",2,Epilepsy/Seizure
Antiarrhythmic,2,Heart Health
Anticholinergic,2,CNS/PNS
Antiemetic,1,Nausea
Antihistamine,1,Allergy
"Antirheumatic Agent, Antimalarial",1,Arthritis
Aromatase Inhibitor,1,Breast Health
Arteriolar Vasodilator,1,Heart Health
Atypical Antipsychotic,4,Mental Health/Antipsychotic
Azole Antifungal,2,Fungal Infections/Infections
Benzodiazepine,4,Anxiety/Seizure/Mental Health
Biguanide,1,Diabetes/Blood sugar
"Biguanide, Dipeptidyl Peptidase 4 Inhibitor",1,Diabetes/Blood sugar
Bisphosphonate,1,Skeletal Health
Calcium Channel Blocker,2,Heart Health
"Carbonic Anhydrase Inhibitor, beta-Adrenergic Blocker",1,Eye Health
Central Nervous System Stimulant,4,Stimulant
Central alpha-2 Adrenergic Agonist,2,Heart Health
Cephalosporin Antibacterial,1,Infections
Cholinergic Muscarinic Antagonist,1,Lung Health
Cholinesterase Inhibitor,1,Dementia/Memory
Corticosteroid,7,Anti-Inflammatory
"Corticosteroid, beta2-Adrenergic Agonist",3,Lung Health
Dietary Cholesterol Absorption Inhibitor,1,Heart Health
Dihydropyridine Calcium Channel Blocker,2,Heart Health
"Dihydropyridine Calcium Channel Blocker, Angiotensin Converting Enzyme Inhibitor",1,Heart Health
Dipeptidyl Peptidase 4 Inhibitor,1,Diabetes/Blood sugar
Estrogen,1,Sex Hormone
"Estrogen, Progestin",2,Sex Hormone
Factor Xa Inhibitor,2,Blood Thinner
Folate Analog Metabolic Inhibitor,1,Cancer/Anti-Inflammatory
GLP-1 Receptor Agonist,3,Diabetes/Blood sugar
HMG-CoA Reductase Inhibitor,5,Heart Health
"Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor, Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor, Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor",2,STD/Antiviral
Histamine-1 Receptor Antagonist,3,Allergy
Histamine-2 Receptor Antagonist,2,Allergy/Stomach Health
Insulin Analog,5,Diabetes/Blood sugar
Leukotriene Receptor Antagonist,1,Allergy/Lung Health
